"","step_1","step_2","step_3","step_4","step_5","step_6","step_7","step_8","step_9","step_10","step_11","step_12","step_13","step_14","step_15","step_16","step_17","step_18","step_19","step_20","step_21","step_22","step_23","step_24","step_25","step_26","step_27","step_28","step_29","step_30","step_31","step_32","step_33","step_34","step_35","step_36","step_37","step_38","step_39","step_40","step_41","step_42","step_43","step_44","step_45","step_46","step_47","step_48","step_49","step_50","step_51","step_52","step_53","step_54","step_55","step_56","step_57","step_58","step_59","step_60","step_61","step_62","step_63","step_64","step_65","step_66","step_67","step_68","step_69","step_70","step_71","step_72","step_73","step_74","step_75","step_76","step_77","step_78","step_79","step_80","step_81","step_82","step_83","step_84","step_85","step_86","step_87","step_88","step_89","step_90","step_91","step_92","step_93","step_94","step_95","step_96","step_97","step_98","step_99","step_100"
"0.0991728417575359x0.494505505543202",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.428681757999584x0.744525006739423",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.82282966026105x0.248166031436995",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.754705048399046x0.00259039015509188",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.961972831049934x0.433007879415527",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.888163646683097x0.201961223734543",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.605783422477543x0.420055854599923",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.960564451990649x0.850318326149136",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.199200688395649x0.766861614538357",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.167818629648536x0.525150871602818",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0286522547248751x0.769093570997939",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.516845570877194x0.260317377978936",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.817113943165168x0.0578432157635689",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.948642418021336x0.355360529618338",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.361999650485814x0.517371523659676",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.791118247201666x0.0398857546970248",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.7870150168892x0.395174091216177",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.159499783767387x0.638241697568446",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.819821968441829x0.0472444915212691",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.609663845272735x0.375892464304343",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.449988665990531x0.0501429771538824",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0722610054071993x0.391975013306364",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.340412029065192x0.79799880948849",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.203222364187241x0.379952718038112",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.482436554739252x0.765247266273946",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.374251157976687x0.671223307959735",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0981025309301913x0.859813100425526",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.369951745728031x0.402544506127015",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.613325199112296x0.702851876849309",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.964085096726194x0.113270545843989",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.539171411423013x0.763254560530186",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.901163890492171x0.273274567909539",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.181922966148704x0.843653874238953",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.369791706325486x0.24956093984656",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.266449733870104x0.678998248418793",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.385870584286749x0.173674328252673",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.677558246301487x0.0122500828001648",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.984286780934781x0.0352198912296444",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.774394269101322x0.461252475390211",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.861856326693669x0.177006046753377",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.366658206796274x0.74596936092712",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.540661962237209x0.10608667996712",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.537305671256036x0.52096801949665",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.838456456549466x0.889312597922981",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.337148179765791x0.309115395648405",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.87216639937833x0.616457640891895",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.713104504626244x0.833252180134878",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.0185700100846589x0.065524342469871",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.00100280228070915x0.280693487497047",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.234523255378008x0.194055656436831",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.296395551413298x0.591560258064419",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.466815882828087x0.803041675826535",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.44269034313038x0.954562847269699",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0171667854301631x0.961664943490177",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.0627976341638714x0.928879862418398",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.946845411323011x0.814584930427372",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.313984717009589x0.614224216900766",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.781571553554386x0.571555787464604",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.69871724373661x0.311023480258882",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.893941074842587x0.453461694996804",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
"0.494498091517016x0.564100045245141",3,10,10,7,9,1,8,5,1,2,5,2,7,1,5,4,5,2,9,8,9,7,5,10,2,8,6,8,8,8,3,10,2,5,2,1,4,8,5,5,7,4,6,3,5,2,6,3,1,5,4,10,4,5,4,6,8,1,1,3,2,4,7,2,7,9,1,10,7,7,5,4,6,8,7,4,10,2,4,2,10,7,6,4,1,8,9,7,3,5,7,8,10,4,5,5,3,10,9,9
"0.729388768784702x0.175218658288941",33,42,25,29,46,43,25,26,23,23,29,31,42,40,45,37,39,22,43,28,39,27,26,39,30,47,20,47,22,39,31,33,33,48,49,28,48,23,41,23,26,40,21,37,35,26,29,50,24,30,37,26,29,23,33,36,25,48,20,24,39,28,43,39,44,33,32,35,49,31,20,33,42,40,21,36,42,20,38,38,43,50,38,33,24,47,43,32,33,32,47,41,26,42,41,30,44,39,32,34
